Athlete_ID,Age,Gender,Height_cm,Weight_kg,Training_Hours_per_Week,Sprint_Time_sec,Endurance_Test_Score,Injury_Rate,Motivation_Score,Diet_Quality,Recovery_Hours_per_Night,Coach_Experience_Years,Team_Cohesion_Score,Mental_Resilience,Nutrition_Adherence,Equipment_Quality,Physiotherapy_Sessions,Recovery_Hours_per_Night_normalized,Training_Hours_per_Week_normalized,Sprint_Time_sec_normalized,Endurance_Test_Score_normalized
118,18,Male,185.445,59.93464133,13,9.55,62,Low,78,Low,5.53,13,72,,74,Moderate,5,-1.189050795167657,0.11077550754189633,-1.7182932448154369,-0.5893506989748705
119,20,Male,173.441,75.03923114,5,12.19,94,High,93,Moderate,7.27,23,68,98,51,High,0,0.28390021927455455,-1.7704646907134658,0.32356225002810857,1.2004264825394029
120,22,Male,179.262,77.41613931,17,12.04,67,High,65,Low,7.76,15,94,70,74,Low,8,0.6986967693186259,1.0513956066695773,0.20754773327563406,-0.3096980143632653
121,32,Female,176.078,,8,12.72,71,High,93,High,8.2,11,60,98,82,Low,1,1.071167140786771,-1.0649996163677051,0.733480209220185,-0.0859758666739811
122,31,Female,180.325,63.60951492,13,12.2,89,Medium,96,Low,5.8,,50,83,85,Moderate,4,-0.9604894308576589,0.11077550754189633,0.33129655114494,0.9207737979277977
124,18,Female,,68.62650909,14,13.82,68,High,79,Moderate,5.42,22,56,63,63,,3,-1.2821683880346937,0.3459305323238166,1.5842533320716623,-0.25376747744094424
126,31,Male,174.671,,13,10.52,40,Medium,88,Low,7.83,16,70,97,95,Low,6,0.7579534193249221,0.11077550754189633,-0.9680660364827711,-1.8198225112659334
127,24,Female,,76.205692,17,11.41,96,Medium,69,Low,5.13,10,64,91,65,High,5,-1.5276602237750623,1.0513956066695773,-0.2797132370847569,1.312287556384045
128,26,Female,174.469,90.13132756,6,10.8,94,Low,54,Low,8.74,29,50,98,,Low,7,1.5282898694067688,-1.5353096659315455,-0.751505605211485,1.2004264825394029
129,32,Male,158.551,30.86817985,19,12.27,42,Low,50,Moderate,5.21,10,61,95,52,High,2,-1.4599383380535813,1.521705656233418,0.3854366589627615,-1.7079614374212915
130,32,Female,175.913,60.17372074,8,13.6,63,Medium,79,Moderate,7.17,12,,99,84,Low,4,0.19924786212270357,-1.0649996163677051,1.4140987075013665,-0.5334201620525495
132,30,Male,163.006,88.19222611,10,9.95,98,High,52,High,8.48,1,70,92,55,High,3,1.3081937408119557,-0.5946895668038645,-1.4089212001421734,1.4241486302286872
133,36,Male,165.815,73.04670322,6,10.65,47,High,94,Moderate,7.86,5,68,95,74,Low,3,0.7833491264704776,-1.5353096659315455,-0.8675201219639596,-1.4283087528096863
134,24,Female,168.886,70.74359094,19,12.77,93,High,63,Low,8.21,20,78,62,62,High,3,1.0796323765019575,1.521705656233418,0.7721517148043423,1.144495945617082
135,34,Male,154.563,94.15867695,12,12.17,96,Low,79,,6.36,8,74,68,83,High,9,-0.48643623080729137,-0.12437951724002395,0.30809364779444565,1.312287556384045
136,37,Male,181.169,,12,9.96,86,Medium,99,Moderate,8.26,11,82,67,57,High,7,1.1219585550778823,-0.12437951724002395,-1.4011868990253407,0.7529821871608345
137,21,Female,158.445,56.97127094,5,13.63,76,High,53,Moderate,5.32,12,98,92,70,Low,5,-1.3668207451865446,-1.7704646907134658,1.4373016108518621,0.19367681793762412
139,24,Male,158.75,75.40253503,7,9.6,90,High,,High,7.19,25,98,98,53,High,9,0.21617833355307423,-1.3001546411496254,-1.6796217392312796,0.9767043348501188
140,30,Female,182.819,95.77899061,14,12.43,72,Medium,74,,8.27,22,84,63,74,High,4,1.1304237907930672,0.3459305323238166,0.5091854768320675,-0.030045329751660053
141,32,Female,169.716,82.99105774,13,12.97,67,Low,97,Low,6.81,20,93,72,,Low,5,-0.10550062362396127,0.11077550754189633,0.9268377371409754,-0.3096980143632653
142,28,Male,152.836,68.4463585,9,11.18,86,Medium,50,Moderate,7.57,28,87,61,53,Low,4,0.5378572907301089,-0.8298445915857847,-0.4576021627718844,0.7529821871608345
143,21,Male,159.57,73.30111493,10,9.81,47,Medium,95,High,7.11,25,,64,94,High,5,0.14845644783159315,-0.5946895668038645,-1.517201415777815,-1.4283087528096863
144,30,Female,183.265,41.74174766,8,9.85,73,,64,Moderate,7.93,11,60,86,61,,7,0.842605776476773,-1.0649996163677051,-1.4862642113104894,0.025885207170660993
146,36,Female,169.213,79.68599183,6,13.28,71,Low,64,High,5.24,15,57,80,81,Moderate,4,-1.4345426309080256,-1.5353096659315455,1.1666010717627544,-0.0859758666739811
148,19,Male,183.896,67.83926053,12,10.05,53,Low,73,High,5.64,12,63,97,62,Moderate,5,-1.095933202300621,-0.12437951724002395,-1.331578188973856,-1.09272553127576
149,27,Female,188.704,71.92061603,15,10.56,71,Low,53,Low,8.49,5,59,67,80,,3,1.3166589765271406,0.5810855571057368,-0.937128832015444,-0.0859758666739811
150,30,Female,186.88,62.77992476,17,10.24,95,Low,61,Moderate,5.88,17,51,62,63,Low,8,-0.8927675451361778,1.0513956066695773,-1.184626467754056,1.256357019461724
