Athlete_ID,Age,Gender,Height_cm,Weight_kg,Training_Hours_per_Week,Sprint_Time_sec,Endurance_Test_Score,Injury_Rate,Motivation_Score,Diet_Quality,Recovery_Hours_per_Night,Coach_Experience_Years,Team_Cohesion_Score,Mental_Resilience,Nutrition_Adherence,Equipment_Quality,Physiotherapy_Sessions
41,35,Female,184.798,74.34824217,13,11.16,63,Medium,64,High,7.77,28,93,67,54,High,6
42,21,Male,173.968,67.19162565,16,11.825422535211274,64,Low,75,Low,5.88,12,87,75,69,Moderate,4.859154929577465
43,31,Male,152.167,43.85072129,14,11.97,46,Medium,90,Moderate,5.33,20,69,95,89,Low,8
44,35,Female,167.569,86.04216928,18,11.97,91,Medium,94,High,7.72,28,72,89,93,Moderate,7
45,26,Female,173.272,67.54202105,6,10.41,45,High,75,High,7.62,24,94,77,50,Low,9
46,38,Female,175.066,97.91167081,5,12.58,92,Medium,96,Low,6.09,18,65,61,79,High,8
47,19,Female,168.724,92.17378172,18,9.9,63,High,81,Moderate,8.8,17,99,72,71.88028169014085,High,1
48,37,Male,173.416,56.8079824,14,10.12,72,Low,59,Low,5.6,19,91,63,69,Moderate,5
49,32,Female,191.189,58.12420032,17,9.51,88,Medium,65,Moderate,6.73,9,57,79.16901408450704,55,High,3
50,24,Male,185.465,52.42034718,15,10.03,68,High,56,Moderate,8.77,4,99,84,71,Low,3
51,29,Female,160.505,46.20304572,13,11.63,82,Low,66,Moderate,6.68,26,70,89,67,Low,4
52,25,Female,164.031,63.66734238,14,12.23,61,Medium,72,High,7.55,21,50,70,57,Low,2
53,32,Female,168.888,91.65620815,13,13.07,65,Low,75,Low,6.59,2,57,66,88,Moderate,4.859154929577465
54,28.176056338028168,Female,152.509,41.27638946,19,9.98,67,Medium,70,Low,6.1,4,78,90,71.88028169014085,Moderate,7
55,31,Female,156.586,82.77916701,13,13.33,89,Low,71,Moderate,6.960140845070424,2,81,69,82,Low,4
56,34,Female,153.783,81.52509181,10,12.86,60,Low,56,High,6.64,15,75.28169014084507,98,65,High,2
57,21,Male,158.523,78.32039191,19,11.34,88,High,63,High,8.58,2,54,72,61,High,4.859154929577465
58,35,Female,169.96378169014085,80.99760047,12,11.825422535211274,46,Low,64,Low,5.92,4,96,90,87,Moderate,6
59,25,Male,161.448,53.43667317,18,13.96,56,Medium,56,High,5.85,6,71,66,83,High,6
60,21,Male,159.729,81.42357762,15,10.42,59,Medium,58,High,5.12,7,96,95,63,Moderate,4.859154929577465
61,19,Male,178.828,61.76112728,19,11.21,71.5,High,97,Moderate,7.61,10,83,79,85,Low,8
,23,Male,165.507,33.11209957,17,13.67,88,Medium,57,High,6.47,19,50,63,82,Moderate,1
63,39,Female,174.186,70.86119422,5,12.75,71.5,Medium,99,Moderate,8.46,19,75,66,72,Moderate,4
64,27,Male,162.718,57.33838401,14,9.72,93,Medium,72,Low,6.960140845070424,14.47887323943662,92,60,99,Low,4
65,21,Male,151.981,90.3822495,12.492957746478874,13.02,61,Low,78,High,8.87,22,59,72,94,High,7
66,39,Male,174.677,65.70480226,5,13.23,67,Low,67,Low,5.74,29,79,81,71.88028169014085,Moderate,7
67,35,Female,154.486,70.6841176,12,12.88,79,Medium,80,Low,8.47,12,99,80,90,Moderate,6
68,29,Female,164.895,75.83769364,12.492957746478874,13.1,88,High,79,High,8.11,3,67,81,70,Low,6
69,19,Female,162.67,65.98899043,7,13.21,46,Low,88,High,8.08,13,66,87,51,High,5
70,27,Female,171.953,68.44238324,17,10.34,40,High,84,Low,8.38,18,75,68,76,Moderate,5
71,21,Male,164.441,82.65361034,8,10.56,71,Medium,67,High,8.04,8,57,85,58,Low,8
72,31,Male,168.723,54.00517783,19,12.35,52,Medium,91,Moderate,7.5,21,96,68,50,Moderate,4.859154929577465
73,28.176056338028168,Female,154.394,59.47279836,19,13.59,69,Low,75.65492957746478,Moderate,5.52,15,89,79.16901408450704,60,Low,1
74,32,Male,190.003,55.49333418,12.492957746478874,10.92,62,Medium,66,High,5.13,1,98,69,52,High,1
75,25,Male,157.999,91.55132009,12,12.15,90,Low,63,Low,8.68,3,61,83,72,High,4
76,31,Male,182.014,59.47450034,10,12.57,98,Medium,80,High,7.47,26,76,67,75,High,3
77,25,Female,171.498,67.85075112,18,11.53,95,Medium,73,High,8.19,8,57,79.16901408450704,53,High,4.859154929577465
78,38,Female,171.409,60.99092978,14,12.71,58,Low,84,Low,6.93,4,74,75,67,Moderate,2
79,33,Male,173.544,65.3773307,16,13.55,71.5,Low,75.65492957746478,Low,5.47,16,95,85,71.88028169014085,Moderate,6
80,30,Female,151.197,58.938558,11,11.825422535211274,69,Low,94,Moderate,5.5,23,53,86,84,High,7
81,35,Female,179.664,76.9408647,18,11.93,68,Medium,75.65492957746478,High,7.74,10,82,79.16901408450704,71,High,5
82,32,Female,164.891,54.3872477,12,11.47,88,Medium,52,Moderate,6.72,12,50,63,92,High,4
83,38,Female,182.104,49.71324168,6,11.825422535211274,71.5,High,86,Low,5.8,14,68,83,64,Moderate,4.859154929577465
,30,Female,168.488,69.04712463640844,17,11.1,68,Low,92,High,6.97,14,80,78,71,High,7
85,26,Male,166.255,58.02647173,14,11.26,69,Medium,89,Moderate,5.26,2,65,95,86,High,2
86,32,Female,157.088,49.93232764,12.492957746478874,11.89,55,Medium,75,Moderate,7.33,23,63,98,91,High,5
87,30,Male,162.345,69.04712463640844,15,9.8,79,Low,72,High,6.08,5,97,69,61,Low,2
88,18,Male,174.223,45.09823869,12,11.825422535211274,58,High,93,High,8.19,14.47887323943662,54,84,96,High,6
,24,Female,156.921,95.91621441,7,11.94,57,Low,88,High,6.24,6,90,77,98,Low,6
90,28.176056338028168,Male,150.094,47.61097953,11,11.44,40,High,64,High,6.82,13,75,78,91,Low,8
91,28.176056338028168,Male,161.425,60.30550751,7,11,53,Medium,98,High,5.05,9,77,95,87,High,4
92,29,Male,178.4,63.94667565,19,12.79,90,High,53,High,5.29,22,51,69,67,Low,7
93,25,Female,187.813,95.27027447,11,12.62,86,Medium,78,Moderate,6.57,28,99,92,94,High,9
94,28,Female,163.226,44.04527034,18,10.25,89,Low,71,High,6.92,29,55,64,84,Moderate,9
95,36,Male,169.96378169014085,72.13075138,15,13.45,41,Low,74,Moderate,7.4,15,58,94,79,Moderate,7
96,34,Female,166.569,85.55737697,19,11.73,93,Low,62,High,6.17,14,82,93,73,Moderate,4.859154929577465
97,25,Female,171.839,65.35385345,16,12.84,67,High,67,Low,7.78,24,90,92,91,Moderate,4
98,20,Female,175.779,52.45274452,17,12.08,88,Medium,82,Moderate,8.44,7,74,80,79,Low,2
,20,Female,191.346,68.38022553,6,13.99,89,Low,65,Low,8.12,25,97,76,63,High,4.859154929577465
100,18,Male,169.96378169014085,92.9065189,14,12.89,69,Low,94,Moderate,5.16,20,75.28169014084507,81,55,High,4.859154929577465
101,22,Male,186.555,60.76321233,10,12.68,77,Medium,91,Low,6.960140845070424,2,58,96,52,High,7
102,28.176056338028168,Female,165.371,91.54275202,7,13,90,Low,93,High,5.42,14.47887323943662,62,74,65,Moderate,2
103,24,Female,170.866,73.88000368,7,10.14,43,Medium,51,High,5.97,6,80,94,56,Moderate,9
104,26,Male,169.96378169014085,88.48771318,19,10.42,71.5,Medium,84,High,8.95,17,90,87,63,High,1
105,24,Male,163.2,73.28024638,13,12.71,47,Medium,91,Moderate,5.57,27,60,66,58,Moderate,8
106,28.176056338028168,Female,167.366,62.73436462,11,11.72,68,Medium,83,Low,7,25,53,91,71.88028169014085,High,4.859154929577465
,25,Male,167.193,94.5828998,9,12.9,94,Medium,79,High,7.47,25,83,70,70,High,4
108,29,Female,163.96,73.37853029,16,9.96,78,High,62,Low,7.81,14.47887323943662,87,69,84,High,6
109,19,Female,164.507,72.49644304,14,11.91,42,Low,62,Low,7.24,2,95,68,51,High,1
110,18,Male,180.968,69.04712463640844,11,11.2,71,High,75.65492957746478,High,5.04,3,53,79.16901408450704,76,High,8
111,33,Male,191.131,83.86228575,13,11.56,49,Low,81,High,6.31,5,87,72,51,High,8
112,22,Female,165.016,69.04712463640844,5,12.22,49,Medium,81,Low,7.07,5,68,84,84,High,3
113,20,Female,166.756,49.73917071,11,11.76,58,Medium,84,High,5.35,1,55,61,67,Moderate,3
114,29,Male,175.246,60.44146702,10,11.93,85,Low,88,High,6.4,8,83,94,63,High,5
115,25,Female,201.87,60.15206573,14,11.69,73,Low,95,High,6.960140845070424,12,75.28169014084507,66,69,High,9
116,39,Male,170.842,58.31379656,18,11.34,99,High,78,Moderate,5.31,24,62,80,67,Moderate,9
117,20,Female,179.726,56.91844352,16,12.97,72,High,98,Low,6.59,4,90,77,59,Moderate,9
118,18,Male,185.445,59.93464133,13,9.55,62,Low,78,Low,5.53,13,72,79.16901408450704,74,Moderate,5
119,20,Male,173.441,75.03923114,5,12.19,94,High,93,Moderate,7.27,23,68,98,51,High,4.859154929577465
120,22,Male,179.262,77.41613931,17,12.04,67,High,65,Low,7.76,15,94,70,74,Low,8
121,32,Female,176.078,69.04712463640844,8,12.72,71,High,93,High,8.2,11,60,98,82,Low,1
122,31,Female,180.325,63.60951492,13,12.2,89,Medium,96,Low,5.8,14.47887323943662,50,83,85,Moderate,4
123,20,Male,159.656,89.13194873,12.492957746478874,13.22,71.5,Medium,59,High,5.67,3,73,78,80,Low,8
124,18,Female,169.96378169014085,68.62650909,14,13.82,68,High,79,Moderate,5.42,22,56,63,63,High,3
125,22,Male,174.812,84.0560878,7,11.825422535211274,47,High,74,High,7.55,14,74,85,50,High,2
126,31,Male,174.671,69.04712463640844,13,10.52,40,Medium,88,Low,7.83,16,70,97,95,Low,6
127,24,Female,169.96378169014085,76.205692,17,11.41,96,Medium,69,Low,5.13,10,64,91,65,High,5
128,26,Female,174.469,90.13132756,6,10.8,94,Low,54,Low,8.74,29,50,98,71.88028169014085,Low,7
129,32,Male,158.551,30.86817985,19,12.27,42,Low,50,Moderate,5.21,10,61,95,52,High,2
130,32,Female,175.913,60.17372074,8,13.6,63,Medium,79,Moderate,7.17,12,75.28169014084507,99,84,Low,4
131,27,Female,161.169,78.90613264,19,10.13,71.5,High,98,High,7.84,9,64,96,90,High,9
132,30,Male,163.006,88.19222611,10,9.95,98,High,52,High,8.48,1,70,92,55,High,3
133,36,Male,165.815,73.04670322,6,10.65,47,High,94,Moderate,7.86,5,68,95,74,Low,3
134,24,Female,168.886,70.74359094,19,12.77,93,High,63,Low,8.21,20,78,62,62,High,3
135,34,Male,154.563,94.15867695,12,12.17,96,Low,79,High,6.36,8,74,68,83,High,9
136,37,Male,181.169,69.04712463640844,12,9.96,86,Medium,99,Moderate,8.26,11,82,67,57,High,7
137,21,Female,158.445,56.97127094,5,13.63,76,High,53,Moderate,5.32,12,98,92,70,Low,5
138,28.176056338028168,Male,185.701,71.7461647,16,11.825422535211274,42,Low,67,Moderate,8.58,1,81,65,83,Low,2
139,24,Male,158.75,75.40253503,7,9.6,90,High,75.65492957746478,High,7.19,25,98,98,53,High,9
140,30,Female,182.819,95.77899061,14,12.43,72,Medium,74,High,8.27,22,84,63,74,High,4
141,32,Female,169.716,82.99105774,13,12.97,67,Low,97,Low,6.81,20,93,72,71.88028169014085,Low,5
142,28,Male,152.836,68.4463585,9,11.18,86,Medium,50,Moderate,7.57,28,87,61,53,Low,4
143,21,Male,159.57,73.30111493,10,9.81,47,Medium,95,High,7.11,25,75.28169014084507,64,94,High,5
144,30,Female,183.265,41.74174766,8,9.85,73,Medium,64,Moderate,7.93,11,60,86,61,High,7
145,24,Female,174.486,84.52942727,14,9.97,74,Low,58,Low,6.960140845070424,5,84,91,81,High,6
146,36,Female,169.213,79.68599183,6,13.28,71,Low,64,High,5.24,15,57,80,81,Moderate,4
147,39,Female,147.832,88.1823465,12.492957746478874,13.6,63,Medium,98,High,5.99,5,95,67,77,Low,9
148,19,Male,183.896,67.83926053,12,10.05,53,Low,73,High,5.64,12,63,97,62,Moderate,5
149,27,Female,188.704,71.92061603,15,10.56,71,Low,53,Low,8.49,5,59,67,80,High,3
150,30,Female,186.88,62.77992476,17,10.24,95,Low,61,Moderate,5.88,17,51,62,63,Low,8
